City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
166,East London,ZA,2021-09-26 03:46:16,-33.0153,27.9116,59.94,77,0,5.75
167,Magalia,US,2021-09-26 03:46:17,39.8121,-121.5783,76.75,32,0,6.91
168,Namatanai,PG,2021-09-26 03:46:17,-3.6667,152.4333,83.84,73,63,7.07
169,Wanaka,NZ,2021-09-26 03:46:17,-44.7,169.15,49.1,49,70,7.0
170,Namibe,AO,2021-09-26 03:46:18,-15.1961,12.1522,61.0,90,58,4.92
171,Greer,US,2021-09-26 03:46:18,34.9387,-82.2271,62.26,91,40,0.0
172,Tocache,PE,2021-09-26 03:46:19,-8.1842,-76.5125,69.06,80,71,1.32
173,Tolmezzo,IT,2021-09-26 03:46:19,46.4075,13.0175,62.2,91,100,0.94
174,Pacific Grove,US,2021-09-26 03:43:34,36.6177,-121.9166,62.76,87,90,3.0
175,Ilulissat,GL,2021-09-26 03:46:19,69.2167,-51.1,17.62,62,0,1.14
176,Castro,BR,2021-09-26 03:46:20,-24.7911,-50.0119,61.41,82,69,4.9
177,Nome,US,2021-09-26 03:46:20,64.5011,-165.4064,44.67,71,40,11.5
178,Hobart,AU,2021-09-26 03:46:17,-42.8794,147.3294,57.25,52,40,1.01
179,Mahibadhoo,MV,2021-09-26 03:46:21,3.7833,72.9667,80.85,80,100,19.89
180,Bengkulu,ID,2021-09-26 03:46:21,-3.8004,102.2655,74.73,94,100,4.32
181,Lagoa,PT,2021-09-26 03:46:22,39.05,-27.9833,69.66,85,89,9.62
182,Longyearbyen,SJ,2021-09-26 03:46:22,78.2186,15.6401,37.24,93,75,5.75
183,Leonforte,IT,2021-09-26 03:46:23,37.6443,14.4007,68.83,89,16,2.62
184,Puyo,EC,2021-09-26 03:46:23,-1.4667,-77.9833,62.82,83,100,3.6
185,Panama City,PA,2021-09-26 03:45:47,8.9936,-79.5197,84.06,85,20,6.91
186,Komsomolskiy,UZ,2021-09-26 03:46:24,40.4272,71.7189,72.32,26,0,4.61
187,Upernavik,GL,2021-09-26 03:46:24,72.7868,-56.1549,19.78,61,0,3.65
188,Kamaishi,JP,2021-09-26 03:46:24,39.2667,141.8833,70.75,71,100,8.21
189,Miles City,US,2021-09-26 03:46:25,46.4083,-105.8406,77.97,22,1,3.44
190,Bluffton,US,2021-09-26 03:46:25,32.2371,-80.8604,67.95,86,1,0.0
