City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
620,Pochutla,MX,15.7432,-96.4661,77.83,87,99,3.13,overcast clouds
621,La Ronge,CA,55.1001,-105.2842,53.38,77,3,8.28,clear sky
622,Saint George,US,37.1041,-113.5841,78.26,38,1,1.01,clear sky
623,Paris,FR,48.8534,2.3488,53.11,95,0,2.3,clear sky
624,Moerai,PF,-22.4333,-151.3333,74.59,81,69,5.48,light rain
625,Dunedin,NZ,-45.8742,170.5036,53.73,53,68,7.34,broken clouds
626,Veinticinco De Mayo,AR,-35.4323,-60.1727,50.05,94,74,8.01,broken clouds
627,Quatre Cocos,MU,-20.2078,57.7625,74.08,75,94,16.15,light rain
628,Akyab,MM,20.15,92.9,79.16,87,100,6.17,overcast clouds
629,Teguise,ES,29.0605,-13.564,68.22,78,0,20.71,clear sky
630,Encs,HU,48.3333,21.1333,58.3,80,96,3.65,overcast clouds
631,Half Moon Bay,US,37.4636,-122.4286,68.02,89,90,1.01,overcast clouds
632,Paraopeba,BR,-19.2757,-44.4033,67.35,68,49,6.08,scattered clouds
633,George Town,MY,5.4112,100.3354,87.73,70,40,11.5,scattered clouds
634,Kytmanovo,RU,53.4593,85.4479,39.02,76,91,5.7,overcast clouds
635,Masumbwe,TZ,-3.6333,32.1833,69.75,67,97,3.31,light rain
636,Tonota,BW,-21.4833,27.4833,64.51,39,0,4.36,clear sky
637,Houma,US,29.5958,-90.7195,78.98,95,99,5.61,overcast clouds
638,Rio Grande,BR,-32.035,-52.0986,62.94,95,60,6.49,broken clouds
639,Ilhabela,BR,-23.7781,-45.3581,67.01,89,2,5.12,clear sky
640,Santa Marta,CO,11.2408,-74.199,83.98,77,49,4.0,scattered clouds
641,Glendive,US,47.1053,-104.7125,70.18,34,1,6.91,clear sky
642,Augusto Correa,BR,-1.0217,-46.635,77.25,84,26,4.92,scattered clouds
643,Arbazh,RU,57.6804,48.3065,33.06,87,46,6.22,scattered clouds
644,Kenai,US,60.5544,-151.2583,39.25,65,1,5.75,clear sky
645,Kalakamati,BW,-20.5929,27.3121,63.23,39,0,9.26,clear sky
646,Mananjary,MG,-21.2167,48.3333,69.44,78,29,3.18,scattered clouds
647,Sri Aman,MY,1.2376,111.4621,91.13,57,65,0.49,broken clouds
648,Kabanjahe,ID,3.1001,98.4908,68.76,79,100,3.44,moderate rain
649,Pringsewu,ID,-5.3582,104.9744,88.45,57,88,3.96,overcast clouds
650,Orotukan,RU,62.2667,151.7,27.54,85,100,6.15,light snow
